Over,Team,Runs,Wickets,Striker,Non_Striker,Fours,Sixes
1,Mumbai Indians,8,0,Rohit Sharma,Ishan Kishan,1,0
2,Mumbai Indians,12,0,Rohit Sharma,Ishan Kishan,2,1
3,Mumbai Indians,6,0,Rohit Sharma,Ishan Kishan,1,0
4,Mumbai Indians,10,1,Rohit Sharma,Ishan Kishan,1,1
5,Mumbai Indians,9,0,Suryakumar Yadav,Rohit Sharma,1,0
6,Mumbai Indians,14,0,Suryakumar Yadav,Rohit Sharma,2,1
7,Mumbai Indians,7,0,Suryakumar Yadav,Rohit Sharma,1,0
8,Mumbai Indians,11,1,Suryakumar Yadav,Hardik Pandya,1,1
9,Mumbai Indians,13,0,Hardik Pandya,Suryakumar Yadav,2,1
10,Mumbai Indians,8,0,Hardik Pandya,Suryakumar Yadav,1,0
11,Mumbai Indians,9,0,Hardik Pandya,Suryakumar Yadav,1,0
12,Mumbai Indians,10,1,Hardik Pandya,Tim David,1,1
13,Mumbai Indians,12,0,Tim David,Hardik Pandya,2,1
14,Mumbai Indians,6,0,Tim David,Hardik Pandya,0,0
15,Mumbai Indians,8,0,Tim David,Hardik Pandya,1,0
16,Mumbai Indians,14,1,Tim David,Cameron Green,2,1
17,Mumbai Indians,7,0,Cameron Green,Tim David,1,0
18,Mumbai Indians,10,0,Cameron Green,Tim David,1,1
19,Mumbai Indians,6,1,Cameron Green,Arjun Tendulkar,0,0
20,Mumbai Indians,8,0,Cameron Green,Arjun Tendulkar,1,0
